;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Budget Line #;;Activity ID;Module;Intervention;Activity;Cost input;UNDP Budget account;Measurement unit;Unit cost;Q1 quantity; Q1 amount ;Q2 quantity; Q2 amount ;Q3 quantity; Q3 amount ;Q4 quantity; Q4 amount ; Amount Total ;;;;;
54;;109;Gestión de casos;Intensificación de las actividades para la eliminación;Conformación de los comités locales de vigilancia epidemiológica en 6 municipios que concentran el 90% de casos en malaria;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;2.409,22;0,00; -   ;1,00; 2.409,22 ;0,00; -   ;0,00; -   ; 2.409,22 ;;;;;
55;;109;Gestión de casos;Intensificación de las actividades para la eliminación;Conformación de los comités locales de vigilancia epidemiológica en 6 municipios que concentran el 90% de casos en malaria;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;807,44;0,00; -   ;1,00; 807,44 ;0,00; -   ;0,00; -   ; 807,44 ;;;;;
56;;110;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Reuniones  trimestrales de seguimiento a la implentación de la estrategia;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71610;USD;2.510,08;0,00; -   ;0,50; 1.255,04 ;0,00; -   ;0,50; 1.255,04 ; 2.510,08 ;;;;;
57;;110;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Reuniones  trimestrales de seguimiento a la implentación de la estrategia;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;71620;USD;4.044,37;0,00; -   ;0,50; 2.022,19 ;0,00; -   ;0,50; 2.022,19 ; 4.044,37 ;;;;;
58;;110;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Reuniones  trimestrales de seguimiento a la implentación de la estrategia;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;1.614,88;0,00; -   ;0,50; 807,44 ;0,00; -   ;0,50; 807,44 ; 1.614,88 ;;;;;
59;;111;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Reuniones mensuales de los comités para el análisis de la información y la microplanificación para la investigación operativa ;2.4 Viáticos, transporte y otros costos relacionados con reuniones/defensa de la causa;75705;USD;4.894,56;0,00; -   ;0,40; 1.957,82 ;0,30; 1.468,37 ;0,30; 1.468,37 ; 4.894,56 ;;;;;
60;;112;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Monitoreo y supervisión en todos los niveles que realizan el reporte al sistema de vigilancia, con instrumentos o herramientas estandarizadas por el Ministerio de Salud. Lo mismo del inlasa, supervisiones del nivel nacional al nivel departamental, redes y establecimientos de salud. ;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71610;USD;8.392,60;0,00; -   ;0,33; 2.797,53 ;0,33; 2.797,53 ;0,33; 2.797,53 ; 8.392,60 ;;;;;
61;;112;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Monitoreo y supervisión en todos los niveles que realizan el reporte al sistema de vigilancia, con instrumentos o herramientas estandarizadas por el Ministerio de Salud. Lo mismo del inlasa, supervisiones del nivel nacional al nivel departamental, redes y establecimientos de salud. ;2.3 Viáticos, transporte u otros costos relacionados con la supervisión;71620;USD;5.211,76;0,00; -   ;0,33; 1.737,25 ;0,33; 1.737,25 ;0,33; 1.737,25 ; 5.211,76 ;;;;;
62;;114;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Talleres de capacitación para personal de la vigilancia epidemiológica y respuesta temprana en casos de brotes, en base a la Guía de vigilancia epidemiológica de la malaria elaborada y validada.;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71610;USD;4.636,41;0,00; -   ;1,00; 4.636,41 ;0,00; -   ;0,00; -   ; 4.636,41 ;;;;;
63;;114;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Talleres de capacitación para personal de la vigilancia epidemiológica y respuesta temprana en casos de brotes, en base a la Guía de vigilancia epidemiológica de la malaria elaborada y validada.;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;71620;USD;4.657,83;0,00; -   ;1,00; 4.657,83 ;0,00; -   ;0,00; -   ; 4.657,83 ;;;;;
64;;114;SSRS: sistemas de monitoreo y evaluación;Vigilancia para el VIH, la TB y la malaria;Talleres de capacitación para personal de la vigilancia epidemiológica y respuesta temprana en casos de brotes, en base a la Guía de vigilancia epidemiológica de la malaria elaborada y validada.;2.1 Viáticos, transporte y otros costos relacionados con capacitaciones;75705;USD;982,24;0,00; -   ;1,00; 982,24 ;0,00; -   ;0,00; -   ; 982,24 ;;;;;
